Sexo,Idade,Cor,Tempo de Estudo,Renda,Altura
Masculino,23,Parda,12,1200,1.66
Feminino,85,Parda,5,30,1.67
Masculino,35,Parda,12,2200,1.75
Masculino,74,Branca,1,2000,1.79
Masculino,34,Parda,9,2300,1.65
Masculino,29,Parda,11,2000,1.52
Masculino,24,Parda,12,2500,1.66
Masculino,61,Parda,1,788,1.71
Feminino,66,Parda,9,105,1.51
Masculino,52,Branca,5,1576,1.89
Masculino,31,Parda,6,2200,1.62
Masculino,54,Branca,2,2500,1.57
Masculino,36,Parda,16,10000,1.69
Masculino,50,Preta,12,750,1.69
Masculino,48,Parda,12,3200,1.73
Feminino,37,Parda,16,1200,1.7
Feminino,33,Branca,16,2115,1.78
Masculino,24,Parda,12,788,1.78
Masculino,28,Parda,12,3200,1.65
Masculino,44,Branca,12,1576,1.72
Masculino,34,Parda,12,1600,1.62
Masculino,28,Branca,12,2000,1.7
Masculino,29,Branca,12,2166,1.68
Masculino,36,Parda,16,12000,1.61
Feminino,33,Amarela,12,500,1.8
Feminino,34,Parda,11,1300,1.64
Masculino,45,Branca,9,3000,1.74
Masculino,60,Parda,12,1500,1.7
Feminino,43,Branca,9,1500,1.71
Feminino,33,Parda,9,1800,1.69
Feminino,41,Parda,9,4000,1.54
Masculino,39,Parda,5,1000,1.86
Masculino,26,Parda,16,788,1.74
Feminino,43,Parda,12,1200,1.68
Masculino,45,Parda,16,4000,1.63
Feminino,33,Parda,12,788,1.67
Masculino,36,Parda,1,5000,1.72
Masculino,52,Parda,12,5000,1.7
Masculino,26,Parda,4,2100,1.6
Masculino,52,Parda,16,3000,1.76
Feminino,33,Parda,12,1100,1.8
Masculino,45,Branca,12,2100,1.73
Masculino,32,Parda,9,5000,1.72
Masculino,32,Preta,12,3700,1.95
Masculino,34,Preta,12,2000,1.75
Masculino,29,Parda,9,1500,1.68
Masculino,32,Amarela,7,2500,1.71
Masculino,26,Parda,6,1900,1.84
Masculino,41,Branca,9,2000,1.74
Masculino,36,Parda,16,3500,1.71
Masculino,28,Parda,12,2800,1.73
Masculino,42,Branca,6,1500,1.76
Masculino,35,Parda,9,2000,1.74
Masculino,41,Parda,9,2500,1.68
Masculino,25,Parda,9,1500,1.79
Masculino,51,Parda,17,3000,1.63
Feminino,80,Parda,3,150,1.72
Masculino,44,Parda,10,900,1.67
Masculino,50,Parda,12,788,1.74
Masculino,38,Branca,11,1500,1.62
Masculino,42,Parda,12,3500,1.7
Masculino,36,Parda,9,2800,1.68
Masculino,56,Parda,5,1710,1.65
Masculino,43,Parda,9,2500,1.71
Masculino,39,Parda,12,2200,1.72
Masculino,27,Parda,12,1650,1.78
Masculino,25,Parda,9,1600,1.72
Masculino,46,Parda,16,3000,1.68
Masculino,40,Parda,10,1500,1.66
Masculino,36,Parda,7,800,1.69
Masculino,37,Parda,8,1500,1.67
Masculino,35,Parda,12,2500,1.59
Masculino,57,Branca,12,1500,1.73
Masculino,31,Parda,5,800,1.64
Feminino,35,Indígena,12,788,1.8
Masculino,65,Parda,10,800,1.7
Masculino,57,Branca,12,2500,1.76
Masculino,39,Branca,9,1500,1.74
Masculino,51,Parda,9,788,1.68
Masculino,34,Parda,10,1000,1.75
Masculino,39,Preta,5,1500,1.7
Masculino,35,Parda,11,800,1.64
Masculino,35,Parda,11,700,1.71
Feminino,37,Parda,12,1000,1.64
Masculino,40,Branca,12,870,1.6
Masculino,50,Parda,12,1250,1.58
Feminino,26,Branca,12,850,1.73
Feminino,37,Parda,6,788,1.46
Masculino,52,Parda,4,1000,1.83
Masculino,47,Branca,12,1500,1.59
Masculino,25,Parda,3,788,1.55
Masculino,47,Parda,12,1250,1.64
Masculino,43,Parda,6,1200,1.61
Feminino,33,Parda,12,1200,1.63
Masculino,34,Parda,12,700,1.66
Feminino,44,Parda,12,1000,1.79
Feminino,49,Preta,12,788,1.68
Masculino,53,Parda,7,120,1.7
Feminino,54,Parda,6,1800,1.69
Feminino,40,Branca,16,525,1.68
Masculino,48,Parda,2,1000,1.85
Feminino,41,Parda,5,788,1.72
Masculino,36,Branca,6,300,1.74
Masculino,37,Branca,9,1500,1.67
Masculino,43,Branca,12,1600,1.55
Masculino,45,Parda,12,800,1.8
Feminino,35,Parda,12,788,1.65
Masculino,29,Parda,9,750,1.72
Feminino,44,Parda,13,700,1.6
Masculino,35,Parda,12,890,1.84
Masculino,70,Preta,11,2600,1.71
Feminino,54,Parda,12,992,1.73
Masculino,40,Parda,11,1500,1.96
Feminino,48,Parda,12,150,1.8
Masculino,40,Branca,6,850,1.72
Feminino,51,Parda,3,400,1.74
Feminino,51,Parda,13,3200,1.67
Masculino,54,Parda,12,0,1.68
Feminino,80,Branca,16,20,1.61
Feminino,43,Parda,16,4000,1.67
Masculino,47,Parda,16,10000,1.73
Masculino,55,Parda,16,5000,1.67
Masculino,25,Parda,12,1500,1.52
Feminino,38,Parda,16,788,1.76
Masculino,37,Parda,9,900,1.75
Masculino,33,Branca,16,3000,1.54
Feminino,56,Preta,9,900,1.68
Masculino,35,Preta,6,1000,1.56
Feminino,51,Parda,16,1200,1.79
Masculino,24,Parda,11,700,1.57
Masculino,33,Parda,7,788,1.8
Feminino,31,Parda,12,1500,1.76
Feminino,30,Parda,11,300,1.79
Masculino,34,Parda,12,700,1.71
Feminino,34,Parda,11,700,1.59
Feminino,54,Amarela,12,788,1.77
Feminino,46,Parda,16,6000,1.64
Masculino,35,Parda,16,4000,1.82
Masculino,45,Branca,15,1500,1.67
Masculino,50,Branca,14,5500,1.77
Feminino,36,Parda,12,788,1.6
Feminino,45,Preta,12,788,1.77
Feminino,37,Parda,8,500,1.62
Feminino,46,Branca,12,788,1.62
Masculino,45,Parda,9,2000,1.84
Masculino,45,Parda,12,7000,1.79
Feminino,50,Parda,12,500,1.74
Feminino,47,Indígena,8,830,1.7
Masculino,62,Parda,12,11000,1.72
Masculino,28,Parda,10,1200,1.61
Masculino,47,Parda,11,1200,1.87
Masculino,54,Parda,11,920,1.75
Feminino,53,Parda,1,788,1.73
Masculino,37,Parda,12,900,1.76
Masculino,32,Parda,12,1250,1.66
Masculino,30,Preta,12,1500,1.8
Feminino,33,Parda,16,1800,1.71
Masculino,47,Parda,4,788,1.64
Feminino,54,Parda,6,800,1.64
Feminino,29,Parda,15,1600,1.83
Masculino,25,Parda,12,2600,1.77
Masculino,37,Preta,16,2100,1.64
Masculino,30,Parda,12,1000,1.75
Feminino,35,Parda,14,800,1.76
Masculino,39,Parda,12,3000,1.63
Masculino,25,Parda,12,1500,1.76
Feminino,49,Parda,16,1100,1.77
Masculino,56,Branca,12,1500,1.76
Feminino,24,Parda,12,500,1.79
Masculino,52,Parda,12,2000,1.65
Feminino,52,Parda,8,788,1.64
Feminino,37,Preta,12,5000,1.63
Feminino,40,Parda,9,788,1.65
Masculino,44,Branca,12,788,1.65
Feminino,53,Preta,6,6000,1.73
Masculino,37,Preta,1,2000,1.53
Feminino,35,Parda,9,210,1.64
Feminino,49,Branca,9,500,1.75
Feminino,61,Parda,1,600,1.68
Masculino,31,Parda,12,850,1.69
Feminino,42,Parda,9,1000,1.7
Masculino,25,Parda,10,813,1.73
Masculino,44,Preta,12,1500,1.57
Masculino,20,Branca,12,1500,1.67
Feminino,52,Parda,9,500,1.72
Feminino,36,Parda,12,280,1.72
Masculino,37,Preta,1,10000,1.68
Masculino,65,Parda,3,500,1.67
Masculino,29,Parda,6,830,1.78
Masculino,23,Indígena,9,1034,1.76
Masculino,34,Parda,12,788,1.6
Masculino,33,Parda,12,0,1.59
Feminino,39,Parda,11,1000,1.69
Masculino,51,Parda,12,2000,1.58
Feminino,50,Parda,11,850,1.65
Feminino,39,Parda,6,200,1.83
Feminino,28,Parda,12,670,1.71
Feminino,49,Preta,12,300,1.6
Feminino,40,Parda,3,1100,1.68
Feminino,21,Parda,12,3500,1.69
Masculino,48,Branca,16,1500,1.84
Feminino,42,Parda,16,1900,1.77
Feminino,46,Parda,16,1700,1.86
Feminino,62,Parda,12,1200,1.64
Feminino,55,Parda,16,4000,1.75
Feminino,34,Parda,12,788,1.7
Feminino,47,Branca,10,600,1.64
Masculino,39,Branca,9,2000,1.67
Masculino,32,Parda,12,1000,1.75
Feminino,36,Branca,12,1000,1.66
Masculino,45,Parda,4,700,1.77
Feminino,41,Branca,12,600,1.8
Feminino,62,Preta,5,400,1.74
Masculino,32,Parda,9,5000,1.83
Masculino,35,Parda,12,788,1.68
Masculino,43,Parda,9,700,1.9
Feminino,44,Parda,8,900,1.7
Masculino,44,Parda,12,1250,1.69
Masculino,33,Parda,11,700,1.76
Masculino,42,Parda,6,820,1.63
Masculino,46,Parda,12,900,1.81
Feminino,38,Parda,7,400,1.72
Feminino,25,Parda,9,788,1.8
Feminino,38,Parda,11,788,1.69
Masculino,25,Parda,9,600,1.76
Masculino,40,Parda,9,788,1.61
Feminino,54,Parda,1,800,1.71
Masculino,54,Parda,8,1400,1.72
Feminino,32,Parda,5,800,1.66
Masculino,51,Parda,11,950,1.76
Masculino,65,Parda,9,900,1.78
Masculino,47,Parda,12,2500,1.67
Masculino,24,Preta,12,900,1.64
Masculino,26,Parda,12,1000,1.67
Masculino,45,Parda,9,1500,1.71
Masculino,50,Parda,12,1200,1.76
Masculino,56,Branca,8,800,1.79
Masculino,44,Branca,12,788,1.75
Masculino,42,Parda,11,800,1.72
Masculino,27,Parda,7,900,1.62
Feminino,46,Parda,12,500,1.7
Masculino,29,Branca,16,1100,1.56
Feminino,33,Parda,11,1100,1.8
Feminino,52,Parda,5,788,1.63
Feminino,30,Parda,12,950,1.63
Masculino,30,Parda,11,900,1.62
Feminino,43,Branca,8,788,1.74
Feminino,36,Parda,12,800,1.59
Masculino,41,Parda,12,900,1.6
Masculino,29,Preta,10,788,1.69
Masculino,60,Parda,12,1250,1.77
Masculino,35,Branca,12,1150,1.82
Masculino,42,Parda,5,1200,1.66
Masculino,37,Parda,12,1150,1.7
Masculino,35,Parda,12,700,1.65
Masculino,32,Parda,7,700,1.67
Masculino,43,Parda,12,900,1.64
Masculino,34,Parda,16,2250,1.73
Masculino,29,Parda,6,800,1.64
Masculino,30,Parda,10,700,1.66
Masculino,41,Parda,6,950,1.78
Masculino,53,Parda,7,850,1.68
Feminino,28,Parda,11,500,1.74
Feminino,55,Parda,4,800,1.6
Feminino,56,Branca,16,400,1.65
Feminino,26,Parda,12,788,1.78
Feminino,45,Branca,9,500,1.67
Masculino,33,Parda,12,1500,1.77
Masculino,35,Parda,9,300,1.74
Feminino,30,Branca,13,850,1.69
Masculino,59,Branca,6,1000,1.8
Masculino,26,Parda,11,900,1.76
Masculino,32,Branca,11,600,1.73
Masculino,54,Parda,9,1100,1.83
Feminino,50,Parda,9,788,1.67
Feminino,30,Parda,11,788,1.78
Feminino,42,Parda,12,800,1.86
Masculino,55,Branca,4,500,1.53
Masculino,32,Parda,12,1250,1.71
Feminino,25,Parda,12,850,1.71
Masculino,34,Parda,12,1150,1.63
Masculino,37,Parda,12,1000,1.56
Feminino,45,Parda,9,900,1.76
Masculino,51,Branca,9,1400,1.75
Masculino,22,Preta,6,800,1.73
Masculino,58,Parda,12,4000,1.65
Masculino,34,Preta,12,2000,1.79
Feminino,28,Parda,8,350,1.72
Masculino,41,Parda,12,1300,1.81
Feminino,34,Branca,12,780,1.7
Masculino,26,Branca,12,1100,1.85
Feminino,40,Branca,9,784,1.68
Masculino,39,Parda,12,700,1.72
Feminino,52,Branca,16,3000,1.7
Feminino,47,Parda,12,3800,1.85
Masculino,29,Branca,16,7000,1.81
Masculino,45,Branca,16,18000,1.53
Masculino,43,Parda,16,4000,1.65
Masculino,42,Parda,16,12000,1.7
Masculino,49,Parda,12,1250,1.74
Masculino,54,Preta,16,9000,1.77
Masculino,49,Parda,16,5000,1.92
Masculino,48,Branca,16,6500,1.76
Feminino,33,Branca,16,11000,1.75
Masculino,56,Branca,15,15000,1.8
Masculino,21,Parda,12,847,1.65
Masculino,52,Branca,12,5000,1.7
Feminino,55,Parda,12,500,1.75
Feminino,63,Parda,9,200,1.69
Masculino,58,Parda,9,150,1.8
Masculino,39,Indígena,12,2000,1.71
Masculino,55,Parda,7,1000,1.6
Masculino,47,Parda,16,1860,1.71
Feminino,40,Parda,9,788,1.77
Feminino,43,Parda,8,600,1.67
Masculino,41,Parda,16,2000,1.62
Masculino,43,Parda,12,2600,1.6
Feminino,21,Parda,13,120,1.87
Feminino,53,Parda,12,220,1.77
Masculino,31,Preta,16,5700,1.73
Masculino,61,Branca,9,5000,1.58
Masculino,54,Branca,16,5000,1.64
Masculino,55,Branca,15,2700,1.76
Masculino,54,Parda,15,4000,1.76
Feminino,42,Parda,16,2000,1.68
Feminino,32,Branca,16,10000,1.77
Feminino,76,Branca,5,600,1.59
Masculino,28,Branca,13,2600,1.8
Masculino,76,Branca,9,1600,1.7
Feminino,60,Branca,16,2000,1.65
Feminino,45,Branca,12,788,1.6
Feminino,26,Parda,14,900,1.57
Feminino,59,Parda,16,15781,1.76
Feminino,55,Parda,9,2000,1.67
Masculino,42,Preta,13,1350,1.84
Masculino,63,Parda,12,2500,1.73
Masculino,58,Parda,12,900,1.63
Feminino,68,Parda,16,1020,1.73
Feminino,43,Parda,12,70,1.57
Feminino,33,Parda,12,1750,1.71
Masculino,39,Parda,16,5000,1.63
Masculino,55,Parda,12,1200,1.72
Feminino,52,Branca,13,280,1.71
Masculino,50,Parda,16,5500,1.73
Feminino,51,Preta,16,4000,1.64
Feminino,51,Indígena,16,5500,1.56
Masculino,29,Parda,12,900,1.65
Feminino,58,Branca,9,500,1.74
Feminino,28,Branca,12,1500,1.76
Masculino,30,Parda,12,3000,1.57
Masculino,45,Preta,14,2500,1.57
Feminino,53,Branca,16,3152,1.65
Feminino,50,Branca,12,788,1.67
Feminino,46,Parda,12,800,1.57
Masculino,34,Parda,12,950,1.65
Masculino,25,Parda,12,900,1.81
Feminino,34,Parda,9,300,1.72
Feminino,31,Parda,12,450,1.68
Masculino,58,Parda,12,1600,1.75
Feminino,50,Parda,16,1800,1.69
Masculino,43,Parda,11,840,1.62
Masculino,33,Parda,12,1200,1.51
Feminino,50,Parda,12,801,1.69
Feminino,33,Preta,12,950,1.75
Masculino,65,Branca,15,1950,1.65
Masculino,51,Parda,6,700,1.6
Masculino,51,Preta,12,1200,1.78
Masculino,21,Parda,6,800,1.79
Masculino,32,Branca,1,800,1.53
Masculino,56,Parda,6,1300,1.73
Feminino,42,Branca,8,850,1.53
Feminino,43,Parda,6,250,1.69
Feminino,42,Parda,9,900,1.6
Feminino,46,Branca,12,0,1.79
Masculino,43,Parda,7,1300,1.68
Masculino,22,Parda,9,788,1.76
Feminino,35,Preta,12,700,1.62
Masculino,56,Parda,16,2350,1.63
Feminino,37,Parda,12,788,1.82
Feminino,55,Parda,9,900,1.79
Masculino,52,Parda,12,1250,1.74
Masculino,26,Parda,12,788,1.92
Feminino,30,Parda,7,800,1.56
Masculino,35,Parda,6,600,1.72
Feminino,27,Parda,12,900,1.74
Feminino,35,Parda,9,500,1.57
Feminino,57,Preta,12,5000,1.63
Feminino,44,Branca,12,800,1.73
Feminino,21,Parda,10,800,1.62
Feminino,40,Parda,8,1000,1.68
Masculino,37,Parda,12,1000,1.72
Masculino,27,Parda,9,1200,1.75
Masculino,43,Parda,12,1200,1.9
Masculino,35,Parda,12,950,1.64
Masculino,37,Preta,12,800,1.54
Masculino,27,Parda,11,980,1.78
Masculino,29,Parda,12,1050,1.71
Masculino,28,Preta,9,700,1.8
Feminino,34,Parda,16,2300,1.8
Masculino,30,Parda,7,550,1.68
Feminino,43,Parda,11,300,1.79
Feminino,41,Parda,9,760,1.56
Masculino,33,Parda,12,2400,1.6
Feminino,47,Parda,12,800,1.6
Masculino,36,Parda,12,2500,1.77
Masculino,30,Parda,12,1200,1.8
Feminino,42,Parda,12,1000,1.62
Masculino,26,Parda,12,1000,1.72
Masculino,35,Parda,12,1100,1.82
Feminino,35,Parda,9,400,1.73
Masculino,30,Preta,12,1240,1.78
Feminino,43,Parda,1,200,1.62
Feminino,42,Preta,9,700,1.58
Feminino,30,Parda,12,800,1.56
Feminino,23,Parda,9,400,1.77
Feminino,37,Preta,15,1300,1.76
Feminino,52,Branca,5,788,1.68
Masculino,29,Branca,12,1100,1.81
Masculino,35,Parda,12,1200,1.77
Feminino,35,Branca,15,1750,1.62
Masculino,39,Parda,12,2800,1.71
Masculino,35,Branca,16,2000,1.78
Masculino,41,Parda,12,1250,1.81
Masculino,37,Parda,12,1000,1.64
Feminino,40,Parda,12,1100,1.78
Masculino,34,Parda,12,1200,1.76
Masculino,49,Parda,9,1400,1.62
Feminino,26,Parda,14,1000,1.62
Masculino,44,Parda,12,2500,1.77
Masculino,37,Parda,16,2700,1.6
Masculino,31,Parda,12,850,1.66
Masculino,25,Branca,7,850,1.72
Masculino,46,Parda,10,830,1.66
Masculino,60,Parda,12,900,1.64
Feminino,43,Parda,9,300,1.66
Masculino,43,Branca,12,1500,1.87
Feminino,53,Parda,12,788,1.73
Masculino,41,Parda,9,1100,1.64
Masculino,52,Branca,2,1000,1.48
Feminino,40,Branca,1,400,1.58
Masculino,35,Parda,9,1300,1.6
Masculino,40,Parda,7,1000,1.63
Feminino,36,Branca,12,900,1.68
Masculino,43,Parda,8,1000,1.7
Masculino,55,Branca,12,1150,1.7
Masculino,57,Parda,12,1500,1.71
Masculino,55,Parda,4,788,1.63
Feminino,50,Parda,8,800,1.77
Feminino,27,Branca,12,788,1.66
Masculino,45,Parda,12,910,1.81
Masculino,46,Parda,9,3000,1.71
Feminino,37,Parda,10,788,1.71
Feminino,31,Parda,12,550,1.59
Feminino,46,Parda,12,800,1.63
Masculino,25,Parda,9,700,1.58
Feminino,32,Branca,12,900,1.71
Masculino,34,Parda,10,900,1.52
Masculino,36,Parda,16,2950,1.75
Masculino,55,Preta,4,800,1.75
Masculino,37,Parda,12,878,1.51
Masculino,40,Parda,9,700,1.65
Masculino,41,Parda,11,600,1.72
Feminino,54,Branca,12,800,1.71
Masculino,50,Parda,9,1170,1.56
Masculino,40,Parda,6,400,1.78
Masculino,31,Parda,12,1000,1.79
Masculino,33,Parda,8,850,1.68
Feminino,41,Parda,12,800,1.71
Masculino,26,Parda,1,150,1.71
Masculino,41,Parda,5,1200,1.63
Masculino,34,Parda,12,890,1.63
Masculino,47,Parda,9,800,1.68
Masculino,26,Parda,8,700,1.74
Masculino,47,Parda,9,900,1.61
Feminino,57,Parda,16,788,1.69
Feminino,36,Parda,1,250,1.66
Feminino,30,Parda,9,788,1.63
Masculino,53,Parda,9,650,1.63
Masculino,34,Branca,12,850,1.71
Feminino,33,Parda,9,400,1.79
Masculino,27,Parda,12,950,1.7
Masculino,40,Parda,11,1200,1.74
Masculino,25,Parda,12,850,1.68
Feminino,43,Branca,10,500,1.66
Feminino,52,Parda,5,800,1.75
Masculino,31,Preta,12,1200,1.61
Masculino,27,Parda,12,1900,1.77
Masculino,53,Parda,16,0,1.67
Masculino,43,Parda,12,788,1.68
Masculino,45,Preta,1,788,1.76
Masculino,29,Branca,12,850,1.82
Feminino,50,Branca,12,788,1.7
Feminino,36,Parda,9,788,1.79
Feminino,46,Parda,12,900,1.65
Masculino,26,Parda,12,850,1.88
Feminino,38,Parda,6,788,1.64
Masculino,57,Parda,5,1200,1.68
Masculino,40,Preta,6,1500,1.6
Masculino,35,Parda,9,3000,1.55
Masculino,32,Parda,11,1000,1.67
Masculino,19,Branca,10,985,1.86
Masculino,45,Parda,6,980,1.64
Masculino,33,Parda,11,1200,1.65
Masculino,32,Parda,9,788,1.81
Masculino,28,Parda,12,1100,1.67
Masculino,30,Parda,11,700,1.74
Masculino,48,Branca,12,900,1.55
Feminino,31,Parda,9,600,1.7
Masculino,29,Parda,1,750,1.55
Feminino,46,Parda,5,250,1.71
Masculino,37,Preta,7,700,1.71
Feminino,35,Parda,7,790,1.71
Masculino,44,Parda,7,1500,1.69
Masculino,30,Parda,6,700,1.52
Masculino,59,Parda,5,800,1.62
Masculino,30,Parda,9,500,1.77
Masculino,35,Parda,6,1000,1.87
Masculino,65,Parda,6,0,1.69
Feminino,31,Parda,7,250,1.71
Masculino,39,Parda,9,788,1.61
Feminino,28,Parda,12,400,1.63
Feminino,49,Parda,12,500,1.63
Masculino,48,Parda,6,700,1.79
Masculino,30,Parda,12,1150,1.79
Feminino,47,Amarela,11,500,1.72
Masculino,39,Branca,1,700,1.83
Masculino,50,Parda,8,850,1.72
Feminino,47,Parda,11,950,1.76
Masculino,47,Parda,5,600,1.75
Feminino,41,Parda,8,300,1.68
Feminino,52,Parda,4,150,1.77
Masculino,36,Parda,8,788,1.64
Masculino,44,Preta,8,788,1.56
Masculino,46,Parda,8,200,1.86
Feminino,35,Parda,12,900,1.81
Feminino,37,Parda,12,400,1.62
Masculino,37,Branca,12,1200,1.83
Masculino,53,Parda,12,850,1.84
Masculino,29,Parda,9,950,1.75
Masculino,26,Preta,12,1000,1.8
Masculino,31,Parda,12,900,1.74
Masculino,43,Parda,9,800,1.7
Feminino,40,Preta,8,800,1.76
Masculino,30,Parda,12,788,1.62
Feminino,30,Parda,12,800,1.75
Masculino,45,Parda,9,630,1.73
Masculino,27,Preta,12,830,1.81
Masculino,33,Parda,12,850,1.56
Masculino,48,Parda,9,850,1.71
Masculino,33,Parda,12,1000,1.59
Feminino,23,Parda,1,480,1.69
Feminino,35,Parda,8,788,1.64
Masculino,30,Parda,14,900,1.53
Masculino,44,Parda,12,1600,1.64
Masculino,39,Branca,12,850,1.88
Masculino,51,Parda,9,788,1.77
Masculino,37,Parda,12,860,1.67
Masculino,35,Parda,11,788,1.65
Feminino,34,Branca,12,950,1.86
Masculino,43,Parda,12,1300,1.58
Masculino,29,Parda,12,950,1.67
Masculino,30,Parda,12,550,1.71
Masculino,61,Parda,6,350,1.76
Feminino,55,Parda,5,500,1.75
Masculino,47,Parda,6,700,1.7
Feminino,40,Parda,8,500,1.84
Masculino,33,Parda,12,1500,1.59
Masculino,26,Parda,8,1000,1.72
Masculino,52,Parda,7,788,1.76
Masculino,39,Parda,9,788,1.82
Masculino,30,Parda,9,500,1.72
Masculino,34,Branca,11,700,1.74
Feminino,58,Parda,6,500,1.72
Feminino,39,Parda,10,788,1.74
Masculino,60,Branca,12,2000,1.65
Masculino,47,Parda,12,1800,1.71
Masculino,58,Parda,12,788,1.7
Masculino,34,Parda,12,700,1.63
Feminino,24,Parda,12,450,1.8
Masculino,41,Parda,12,2000,1.72
Masculino,39,Parda,12,1850,1.66
Masculino,47,Parda,5,800,1.72
Masculino,30,Parda,12,1400,1.68
Feminino,39,Parda,5,788,1.72
Feminino,50,Parda,1,250,1.67
Masculino,42,Parda,12,800,1.76
Feminino,42,Parda,12,990,1.62
Masculino,42,Parda,12,1100,1.55
Masculino,29,Parda,9,900,1.6
Masculino,53,Parda,5,4000,1.68
Feminino,31,Branca,12,400,1.64
Masculino,26,Parda,10,2000,1.66
Feminino,42,Branca,13,250,1.69
Feminino,40,Branca,9,480,1.72
Feminino,42,Branca,6,900,1.69
Masculino,54,Branca,1,1200,1.7
Feminino,44,Parda,6,788,1.66
Feminino,50,Parda,13,1200,1.77
Feminino,39,Parda,15,788,1.69
Masculino,55,Parda,4,788,1.65
Masculino,39,Branca,9,2000,1.51
Masculino,52,Branca,8,1500,1.62
Masculino,49,Indígena,9,350,1.72
Masculino,76,Branca,2,35,1.68
Masculino,50,Branca,17,1500,1.64
Masculino,55,Parda,12,1300,1.78
Masculino,29,Parda,9,788,1.67
Masculino,29,Parda,14,1450,1.7
Masculino,44,Branca,6,1300,1.53
Masculino,46,Parda,12,788,1.76
Feminino,44,Preta,12,1200,1.59
Feminino,30,Parda,9,700,1.8
Feminino,40,Parda,9,750,1.7
Masculino,37,Parda,12,1200,1.63
Masculino,56,Parda,9,800,1.74
Feminino,54,Parda,5,500,1.75
Masculino,50,Parda,9,1000,1.68
Feminino,25,Parda,12,1000,1.69
Feminino,27,Parda,9,900,1.66
Masculino,35,Preta,12,900,1.74
Masculino,43,Parda,9,1200,1.78
Feminino,63,Branca,5,600,1.75
Feminino,29,Parda,12,600,1.62
Masculino,30,Parda,8,500,1.61
Masculino,36,Parda,12,800,1.65
Feminino,56,Preta,9,500,1.72
Masculino,33,Parda,12,650,1.64
Feminino,69,Parda,12,2000,1.67
Feminino,55,Parda,12,788,1.85
Masculino,47,Parda,11,788,1.78
Masculino,28,Parda,10,1000,1.56
Masculino,69,Parda,6,5000,1.83
Masculino,65,Parda,15,2100,1.88
Masculino,60,Preta,11,3000,1.7
Masculino,61,Branca,16,5000,1.78
Masculino,50,Parda,9,950,1.69
Masculino,29,Branca,12,1350,1.81
Masculino,50,Parda,12,2000,1.56
Masculino,30,Parda,1,700,1.64
Masculino,43,Preta,6,700,1.71
Masculino,52,Preta,5,1000,1.7
Feminino,30,Parda,8,1000,1.76
Masculino,21,Parda,12,788,1.69
Feminino,29,Parda,12,850,1.69
Feminino,30,Parda,7,850,1.73
Masculino,27,Branca,1,850,1.77
Masculino,33,Parda,14,788,1.88
Feminino,46,Parda,12,350,1.8
Feminino,32,Parda,12,380,1.62
Masculino,35,Parda,5,1500,1.68
Masculino,23,Parda,12,600,1.81
Feminino,55,Parda,5,500,1.77
Masculino,42,Parda,7,1200,1.71
Feminino,56,Parda,1,40,1.59
Feminino,69,Preta,1,130,1.66
Masculino,39,Parda,12,1000,1.76
Masculino,56,Parda,6,0,1.68
Masculino,43,Branca,12,2000,1.55
Masculino,39,Parda,10,1000,1.84
Feminino,50,Preta,6,788,1.7
Masculino,39,Branca,8,1200,1.66
Feminino,30,Branca,16,788,1.89
Feminino,29,Parda,12,900,1.51
Feminino,24,Parda,10,400,1.78
Masculino,51,Branca,4,400,1.59
Masculino,38,Parda,1,400,1.59
Masculino,42,Parda,2,600,1.72
Masculino,25,Parda,1,500,1.67
Feminino,57,Parda,1,50,1.55
Feminino,57,Parda,2,0,1.75
Masculino,26,Parda,3,400,1.71
Masculino,45,Parda,5,500,1.72
Masculino,59,Parda,1,600,1.79
Feminino,46,Parda,4,800,1.73
Masculino,39,Parda,9,900,1.78
Feminino,28,Parda,10,900,1.68
Feminino,47,Branca,9,788,1.77
Feminino,36,Parda,16,788,1.77
Masculino,37,Parda,2,1500,1.67
Feminino,30,Parda,12,950,1.71
Masculino,38,Parda,4,500,1.58
Masculino,31,Branca,1,500,1.57
Masculino,55,Branca,3,1000,1.68
Masculino,30,Parda,3,650,1.63
Masculino,41,Parda,12,600,1.75
Feminino,32,Preta,10,1600,1.77
Masculino,30,Preta,3,600,1.7
Masculino,27,Branca,5,700,1.78
Masculino,32,Parda,7,700,1.62
Masculino,52,Parda,11,1780,1.74
Masculino,32,Parda,3,700,1.68
Masculino,33,Parda,11,3000,1.68
Masculino,41,Parda,3,200,1.65
Masculino,67,Parda,2,500,1.68
Masculino,63,Parda,4,300,1.63
Masculino,32,Parda,3,300,1.69
Masculino,21,Parda,6,150,1.57
Masculino,65,Parda,3,3000,1.92
Feminino,47,Parda,16,1350,1.66
Masculino,34,Parda,4,1000,1.66
Masculino,34,Parda,4,200,1.63
Masculino,66,Parda,4,600,1.81
Masculino,45,Parda,7,700,1.53
Masculino,28,Branca,12,980,1.64
Feminino,25,Parda,12,788,1.62
Masculino,67,Parda,3,500,1.88
Masculino,26,Parda,7,980,1.75
Masculino,26,Branca,12,3000,1.82
Feminino,29,Parda,8,600,1.73
Masculino,25,Branca,4,400,1.68
Masculino,40,Parda,6,788,1.76
Masculino,46,Preta,5,400,1.68
Masculino,55,Parda,3,550,1.67
Masculino,42,Parda,9,1200,1.56
Masculino,31,Branca,16,3200,1.7
Feminino,59,Parda,3,350,1.49
Masculino,55,Branca,6,1400,1.66
Feminino,50,Parda,11,788,1.84
